Debiteurnummer,Account,Adres + nr,nummer,toevoeging,Postcode,Plaats,Stadsdeel,,,,,,,,,,Sector
012754,Chin Chin Club - Potato Club BV,Rozengracht 133 A,133,A,1016LV,Amsterdam,020-Centrum-West,,,,,,,,,,4
012755,Café 't Spui-tje,Spuistraat 318,318,,1012VX,Amsterdam,020-Centrum,,,,,,,,,,5
012756,Café Kiebert,Marathonweg 2,2,,1076TE,Amsterdam,020-Zuid,,,,,,,,,,3
012757,Toujours Urban Frenchy Bistro,Oude Groenmarkt 10-12,10,,2011HL,Haarlem,Haarlem,,,,,,,,,,
012759,Mitra Iwema,Zonnelaan 249,249,,9742BG,Groningen,Groningen,,,,,,,,,,
012760,HEM EINDHOVEN B.V.,Vestdijk 5,5,,5611CA,Eindhoven,Eindhoven,,,,,,,,,,
012761,Petit Kitchen & Bar,Oudestraat 2,2,,4311AW,Bruinisses,Bruinisses,,,,,,,,,,
012762,Harvey Bar & Kitchen,Hertogsingel 58-C,58,C,6214AE,Maastricht,Maastricht,,,,,,,,,,
012763,Wijnkoperij La Bordelaise,Nieuwe Rijn 36,36,,2312JG,Leiden,Leiden,,,,,,,,,,
012764,De School,Doctor Jan van Breemenstraat 1,1,,1056AB,Amsterdam,020-West,,,,,,,,,,4
012765,Bumbu Kitchen BV,Nieuwe Doelenstraat 26,26,,1012CP,Amsterdam,020-Centrum,,,,,,,,,,5
012767,BAUT B.V.,Spaarndammerstraat 460,460,,1013SZ,Amsterdam,020-West,,,,,,,,,,4
012768,BAUT B.V.,Spaarndammerstraat 460,460,,1013SZ,Amsterdam,020-West,,,,,,,,,,4
012769,Maris Piper,Frans Halsstraat 76,76,,1072BV,Amsterdam,020-Zuid - De Pijp,,,,,,,,,,3
012770,Duke of Tokyo Amsterdam,Reguliersdwarsstraat 37A,37,A,1017BK,Amsterdam,020-Centrum-Zuid,,11:00,,,,,DOT,,,3
012771,Café Rebel Food & Bar,Begijnenstraat 4,4,,5341BG,Oss,Oss,,,,,,,,,,
012773,Lokaal 1650,Korte Putstraat 27,27,,5211KP,S-Hertogenbosch,S-Hertogenbosch,,,,,,,,,,
012774,Marfo B.V.,Koperstraat 31,31,,8211AK,Lelystad,Lelystad,,,,,,,,,,
012775,De Mattos Cinco BV h/o Arriba Arriba,Rozengracht 114,114,,1016nh,Amsterdam,020-Centrum-West,,,,,,,,,,4
012776,No Man's Art Gallery,Bos en Lommerweg 88-90,88,,1055EC,Amsterdam,020-West,,,,,,,,,,4
012777,Union 55 Rum Co B.V.,Sara Burgerhartstraat 40 3,40,3,1055LA,Amsterdam,020-West,,,,,,,,,,4
012778,TrainMore BV,Barbara Strozzilaan 201,201,,1083HN,Amsterdam,020-Zuid,,,,,,,,,,3
012779,Rumworld,Willem Kloostersstraat 3,3,,7442ZN,Nijverdal,Nijverdal,,,,,,,,,,
012780,Walenpleintje BV,Walenpleintje 157,157,,1012JZ,Amsterdam,020-Centrum,,,,,,,,,,5
012781,Strandpaviljoen Zee en Zon,Boulevard-Zeezijde 19,19,,2225BB,Katwijk,Katwijk,,,,,,,,,,
012782,GastroBar 6,Karrenstraat 6,6,,5211EH,S-Hertogenbosch,S-Hertogenbosch,,,,,,,,,,
012784,Best of Whiskies,Energiestraat 11B,11,,1411AP,Naarden,Naarden,,,,,,,,,,
012785,Brasserie Pierre,Pannekoekstraat 38a,38,A,3011LH,Rotterdam,Rotterdam,,,,,,,,,,
012786,h/o Museumcafé Mokum,Kalverstraat 92,92,,1012PH,Amsterdam,020-Centrum,,,,,,,,,,5
012787,Restaurant de Treeswijkhoeve,Valkenswaardseweg 14,14,,5582VB,Waalre,Waalre,,,,,,,,,,
012788,Mr Crab Restaurant bv nr2,Amstelstraat 7,7,,1017DA,Amsterdam,020-Centrum-Zuid,,,,,,,,,,3
012789,Theaterhotel Venlo BV,Maasportpassage 1,1,,5911HC,Venlo,Venlo,,,,,,,,,,
012790,Sotheby's Amsterdam BV,Emmalaan 23,23,,1075AT,Amsterdam,020-Zuid,,,,,,,,,,3
012791,Silvius Services,Obrechtstraat 119A,119,A,2517VP,Den Haag,Den Haag,,,,,,,,,,
012792,Café Wunderkammer,Houtstraat 47,47,,6511JL,Nijmegen,Nijmegen,,,,,,,,,,
012793,Rock the Boat,Jeltje de Bosch Kemperpad 105,105,,1054PJ,Amsterdam,020-West,,,,,,,,,,4
012794,Parc Broekhuizen,Broekhuizerlaan 2,2,,3956NS,Leersum,Leersum,,,,,,,,,,
012795,Takeaway.com Central Core BV,Oosterdoksstraat 80,80,,1011DK,Amsterdam,020-Centrum,,,,,,,,,,5
012796,Soho House Amsterdam,Spuistraat 210,210,,1012VT,Amsterdam,020-Centrum,,11:00,,,Leveranciersingang links van hoofdingang.,,,,,5
012797,Room Mate Amsterdam B.V.,IJdock 6,6,,1013MM,Amsterdam,020-West,,,,,,,,,,4
012798,Freddy's Beerkitchen,Koningstraat 26,26,,6511LB,Nijmegen,Nijmegen,,,,,,,,,,
012799,Café Rad van Wageningen,1e Kloostersteeg 3,1,3,6701DL,Wageningen,Wageningen,,,,,,,,,,
012800,Wilde Zwijnen BV,Javaplein 23,23,,1095CJ,Amsterdam,020-Oost,,,,,,,,,,2
012801,Bar Restaurant Branie,Ten Katestraat 26a huis,26,A,1053CG,Amsterdam,020-West,,,,,,,,,,4
012802,Bar Bachrach,Javaplein 25,25,,1095CJ,Amsterdam,020-Oost,,,,,,,,,,2
012803,Ginscal,Sonseweg 35,35,,5632NA,Eindhoven,Eindhoven,,,,,,,,,,
012804,Rosa&Rita,Conradstraat 471,471,,1018NE,Amsterdam,020-Centrum-Oost,,,,,,,,,,2
012805,Post Plaza Hotel & Grand Cafe,Tweebaksmarkt 27,27,,8911KW,Leeuwarden,Leeuwarden,,,,,,,,,,
012807,Beefsteak Club B.V.,Ferdinand Bolstraat 26,26,,1072LK,Amsterdam,020-Zuid - De Pijp,,,,,,,,,,3
012808,Kade West,Kinkerstraat 87,87,,1053DH,Amsterdam,020-West,,,,,,,,,,4
012809,Za Amsterdam,Danzigerkade 4,4,,1013AP,Amsterdam,020-West,,,,,,,,,,4
012810,Het Magazijn,Voorstraat 180,180,,3011ES,Dordrecht,Dordrecht,,,,,,,,,,
012811,Dok Zwijndrecht,Maasboulevard 134,134,,3331ML,Zwijndrecht,Zwijndrecht,,,,,,,,,,
012812,Post,Johan de Wittstraat 128,128,,3311KJ,Dordrecht,Dordrecht,,,,,,,,,,
012813,Admiraliteit Dranken BV,Admiraliteitskade 17A,17,A,3063EC,Rotterdam,Rotterdam,,,,,,,,,,
012814,HMB Restaurant,Holland Amerikakade 104,104,,3072MC,Rotterdam,Rotterdam,,,,,,,,,,
012815,Kunsthalcafé Rotterrdam,Westzeedijk 343,343,,3015AA,Rotterdam,Rotterdam,,,,,,,,,,
012816,Mood Rotterdam,Wilhelminakade 330,330,,3072MD,Rotterdam,Rotterdam,,,,,,,,,,
012817,Conscious Hotel The Tire Station,Amstelveenseweg 5,5,,1054MB,Amsterdam,020-West,,,,,,,,,,4
012818,W. van Schaik Dranken,Heeswijk 145,145,,3417GP,Montfoort,Montfoort,,,,,,,,,,
012819,Bar Restaurant Lely,Cornelis Lelyplein 4,4,,1062HX,Amsterdam,020-Nieuw-West,,,,,,,,,,4
012820,La Passione,Noordeinde 196,196,,2514GS,Den Haag,Den Haag,,,,,,,,,,
012821,Café Schiller,Rembrandtplein 24,24,,1017CV,Amsterdam,020-Centrum-Zuid,,,,,,,,,,3
012822,Bar Parallel,Overtoom 495-497,495,,1054LG,Amsterdam,020-West,,,,,,,,,,4
012823,Suikerkist,Havermarkt 2,2,,4811WG,Breda,Breda,,,,,,,,,,
012824,Kaagman&Kortekaas,Sint Nicolaasstraat 43,43,,1012NJ,Amsterdam,020-Centrum,,11:00,,,,,,,,5
012825,Little Collins West,Bilderdijkstraat 140,140,,1053LA,Amsterdam,020-West,,,,,,,,,,4
012826,Buma NL,Catherina van Renneslaan 10,10,,1217CX,Hilversum,Hilversum,,,,,,,,,,
012827,Café Verward,Hoogstraat 69A,69,A,3011PH,Rotterdam,Rotterdam,,,,,,,,,,
012828,Lokaal van de Stad,Heemstedestraat 68,68,,1058NP,Amsterdam,020-West,,,,,,,,,,4
012829,Kite,Westblaak 160,160,,3012KM,Rotterdam,Rotterdam,,,,,,,,,,
012830,Label Hospitality B.V.,Arena Boulevard 1,1,,1101AX,Amsterdam,020-Zuidoost,,,,,,,,,,6
012831,Café Restaurant de Eendracht Weesp,Het Grote Plein 5,5,,1381BE,Weesp,Weesp,,,,,,,,,,
012832,Green Delight,Nieuwe Binnenweg 144A,144,A,3015BG,Rotterdam,Rotterdam,,,,,,,,,,
012833,Do Not Disturb,Spuistraat 175b,175,B,1012VN,Amsterdam,020-Centrum,,11:00,,,Parkeren op laad en losplek voor de deur,,DND,,,5
012834,High Spirits Drankhandel BV,De Droogmakerij 20 E,20,E,1851LX,Heilo,Heilo,,,,,,,,,,
012836,In de keuken van Floris,Honingerdijk 259,259,,3063AM,Rotterdam,Rotterdam,,,,,,,,,,
012837,Pol Rotterdam,Meent 46-48,4648,,3011JM,Rotterdam,Rotterdam,,,,,,,,,,
012838,Parck aka Ping Pong bar,Overtoom 428,428,,1054JV,Amsterdam,020-West,,,,,,,,,,4
012839,Bar Louie Louie,Linnaeusstraat 11A,11,A,1093EC,Amsterdam,020-Oost,,,,,,,,,,2
012841,Q-Factory,Atlantisplein 1,1,,1093NE,Amsterdam,020-Oost,,,,,,,,,,2
012842,Inhealth,Orteliuslaan 5,5,,3528BA,Utrecht,Utrecht,,,,,,,,,,
012843,Roze Rouge,Benthuizerstraat 35B,35,B,3036CB,Rotterdam,Rotterdam,,,,,,,,,,
012844,Eikelenboom BV,Cruquiusweg 111-L,111,L,1019AG,Amsterdam,020-Oost-Zeeburg,,,,,,,,,,2
012845,Nacarat,Rokin 49,49,,1012KK,Amsterdam,020-Centrum,,,,,,,,,,5
012846,In de Wildeman,Kolksteeg 3,3,,1012PT,Amsterdam,020-Centrum,,,,,,,,,,5
012848,Stijn & Zo Holding BV,Kerkstraat 259-B,259,B,1017GW,Amsterdam,020-Centrum-Zuid,,,,,,,,,,3
012850,Bar Dapper,Jacob van Lennepkade 58-60,58,,1053ML,Amsterdam,020-West,,,,,,,,,,4
012851,Lowlander Beer Co.,Hannie Dankbaarpassage 39,39,,1053RT,Amsterdam,020-West,,,,,,,,,,4
012852,Patani Global Food B.V.,Centrale Groothandelsmarkt 165,165,,1051LJ,Amsterdam,020-West,,,,,,,,,,4
012853,Koffie Academie Sloterdijk,Radarweg 230,230,,1043DV,Amsterdam,020-Westpoort,,,,,,,,,,4
012854,Bobbi's Bar,Gasthuispoort 1,1,,4811GW,Breda,Breda,,,,,,,,,,
012855,Klipon Trading BV,Pieter Ghijsenlaan 29,29,,1506PW,Zaandam,Zaandam,,,,,,,,,,
012856,Martins Gins en Events,Bellinistraat 38,38,,7604JR,Almelo,Almelo,,,,,,,,,,
012857,De With,Witte de Withstraat 81,81,,3012BN,Rotterdam,Rotterdam,,,,,,,,,,
012858,Kingfisher Café,Ferdinand Bolstraat 24,24,,1072LK,Amsterdam,020-Zuid - De Pijp,,,,,,,,,,3
012859,Baut Oost,Wibautstraat 125,125,,1091GL,Amsterdam,020-Oost,,,,,,,,,,2
012861,Bardak,Ferdinand Bolstraat 12,12,,1072LJ,Amsterdam,020-Zuid - De Pijp,,,,,,,,,,3
012862,LenselinQ,Haagseveen 32,32,,3011DA,Rotterdam,Rotterdam,,,,,,,,,,
012863,D-Vine,KNSM-Laan 293,293,,1019LE,Amsterdam,020-Oost-Zeeburg,,,,,,,,,,2
012864,Little Collins de Pijp,Eerste Sweelinckstraat 19F,19,F,1073CL,Amsterdam,020-Zuid - De Pijp,,,,,Parkeren laad en losplek voor de deur,,,,,3
012865,Slijterij  Nobel  Ballum B.V.,Gerrit Kosterweg 16,16,,9162EN,Ballum,Ballum,,,,,Versturen met MyParcel,,,,,
012866,Raise the Bar,Punter 415,415,,1186RB,Amstelveen,Amstelveen,,,,,,,,,,7
012867,Alba Engineering,Jousterweg 104,104,,8465PM,Oudehaske,Oudehaske,,,,,,,,,,
012868,Neko Jusu,Hazenstraat 74,74,,1016SR,Amsterdam,020-Centrum-West,,,,,,,,,,4
012869,Stokerij Klopman,Louis Couperusstraat 21,21,,2024HH,Haarlem,Haarlem,,,,,,,,,,
012870,De Thai,Hoogstraat,,,3011PE,Rotterdam,Rotterdam,,,,,,,,,,
012871,Club Aqua Asia,Holland Amerika kade 106,106,,3972MC,Rotterdam,Rotterdam,,,,,,,,,,
012872,Pulp,Govert van Wijnkade 12,12,,3144ED,Maassluis,Maassluis,,,,,,,,,,
012873,Restaurant Sfeerlijk,Raadhuisstraat 158,158,,5161BK,Sprang Capelle,Sprang Capelle,,,,,,,,,,
012874,Alex Wijnen,Rozengracht 4,4,,1016NB,Amsterdam,020-Centrum-West,,,,,,,,,,4
012875,Bar Cinq,Uurwerkersplein 1,1,,9712EJ,Groningen,Groningen,,,,,,,,,,
012876,Proeflokaal Reijngoud,Schiedamse Vest 148,148,,3011BG,Rotterdam,Rotterdam,,,,,,,,,,
012877,Yuzu Dining,Bierkade 6,6,,2512AA,Den Haag,Den Haag,,,✔️,,LEVEREN BIJ LEVERANCIERS INGANG,,YUZU DH,,,
012878,Stockroom,Oosterstraat 24-1,24,1,9711NV,Groningen,Groningen,,,,,,,,,,
012879,Café Binnenvisser,Bilderdijkstraat 36,36,,1052NB,Amsterdam,020-West,,,,,,,,,,4
012881,Sir Adam B.V.,Overhoeksplein 7,7,,1031KS,Amsterdam,020-Noord,,,,✔️,Code voor de beweegbare paaltjes: [xxxx] Leveranciersingang achterkant bij verhoging (bel zawrte poort),,,,,1
012882,Drinking Out Loud,Sarphatistraat 175-1,175,1,1018GJ,Amsterdam,020-Centrum-Oost,,,,,,,,,,2
012883,A Musee,Weteringschans 75,75,,1017RX,Amsterdam,020-Centrum-Zuid,,,,,,,,,,3
012884,IT Shizzle OID,Watertorenweg 180,180,,3063HA,Rotterdam,Rotterdam,,,,,,,,,,
012885,Lama Lama,Nieuwe Teertuinen 22-23,22,,1013LV,Amsterdam,020-West,,,,,,,,,,4
012886,Cafe St. Anneke,Kasteellaan 2,2,,6602DE,Wijchen,Wijchen,,,,,,,,,,
012887,SFT Gondrand Freres NV,Woestijnstraat,5,a ,2880,Bornem,Belgie,,,,,,,,,,
012888,Restaurant van de Leur & Bricks,Prinsestraat 5A-7,5,A7,2513CA,Den Haag,Den Haag,,,,,,,,,,
012889,Hotel Jakarta Amsterdam by WestCord,Javakade 766,766,,1019SH,Amsterdam,020-Oost-Zeeburg,,,,,,,,,,2
012890,Investire BV,Dr. C. Lelyweg 11 E,11,E,6827BH,Arnhem,Arnhem,,,,,,,,,,
012891,Drinxx Groothandel B.V.,Maarten Kruytstraat 24,24,,2202GX,Noordwijk,Noordwijk,,,,,,,,,,
012892,Coperama,Kruisweg 495,495,,2132NA,Hoofddorp,Hoofddorp,,,,,,,,,,
012893,Radio Radio BV,Pazzanistraat 3,3,,1014DB,Amsterdam,020-West,,,,,,,,,,4
012894,ISAAC Academy bv,Haarlemmerstraatweg 11,11,,1165MJ,Halfweg,Halfweg,,,,,,,,,,
012895,Hanno Delft,Doelenplein 7,7,,2611BP,Delft,Delft,,,,, ,,,,,
012896,Provoke Agency,Overhoeksplein 2,2,,1031KS,Amsterdam,020-Noord,,,,,,,,,,1
012897,Fijnkost Westerpark,Van Limburg Stierumplein 18,18,,1018BE,Amsterdam,020-Centrum-Oost,,,,,,,,,,2
012898,Slijterij Oost,Dapperstraat 287,287,,1093BS,Amsterdam,020-Oost,,,,,,,,,,2
012900,Sample/Representatie,Portsmuiden 13,13,,1046AH,Amsterdam,020-Westpoort,,,,,,,,,,4
012903,Poort van Amsterdam,Zeedijk 2,2,,1154PP,Uitdam,Uitdam,,,,,,,,,,
012904,Habitoo,Stadsring 65G,65,G,3811HN,Amersfoort,Amersfoort,,,,,,,,,,
012905,NL Nieuwezijds Lounge BV,Nieuwezijds Voorburgwal 169 bg,169,BG,1012RK,Amsterdam,020-Centrum,,,,,,,,,,5
012906,Cabaret Douze,Graanmarkt 3,3,,6211HG,Maastricht,Maastricht,,,,,,,,,,
012907,Bo Nam BV,Lange Leidsesdwarsstraat 57,57,,1017NH,Amsterdam,020-Centrum-Zuid,,,,,,,,,,3
012908,Wine by Bas (& WINE Haarlem),Wagenweg 25,25,,2012NB,Haarlem,Haarlem,,,,,,,,,,
012909,Fijnkost Vondelpark,Zocherstraat 10,10,,1054LX,Amsterdam,020-West,,,,,,,,,,4
012910,Una Más DC,Francis Baconstraat 5,5,,6718XZ,Ede,Ede,,,,,,,,,,
012911,Café de Bruine Pij,Kerkplein 7,7,,4811XT,Breda,Breda,,,,,,,,,,
012912,Black Sheep Red Sheep,Moeraswederik 24,24,,2498CJ,Den Haag,Den Haag,,,,,,,,,,
012913,Karaat Amsterdam,Houthavenkade 103,103,,1014ZB,Amsterdam,020-West,,,,,,,,,,4
012914,Luchthaven Hotel Beleggingsmaatschappij,Schiphol boulevard 101,101,,1118BG,Schiphol,Schiphol,,,,,LEVEREN KAN TUSSEN 7.00u EN 14.30u,,,,,
012915,Santhe Dranken,Havenstraat 12,12,,2211EH,Noordwijkerhout,Noordwijkerhout,,,,,,,,,,
012916,Park Hotel,Stadhouderskade 25,25,,1071ZD,Amsterdam,020-Zuid,,,,,Leveran in de Garage,,,,,3
012917,Het Amsterdamse Proeflokaal B.V.,Stadionplein 300,300,,1076CK,Amsterdam,020-Zuid,,,,,,,,,,3
012918,NHOW ROTTERDAM B.V.,Wilhelminakade 137,137,,3072AP,Rotterdam,Rotterdam,,,,,"LEVEREN OP 7E VERDIEPING, VRAAG EEN TAG AAN DE RECEPTIE, deze moet je ook weer inleveren!",,,,,
012919,Ballroom,Witte de Withstraat 88b,88,B,3012BT,Rotterdam,Rotterdam,,,,,,,,,,
012920,Gall&Gall IJmuiden,Plein 1945 49,49,,1971GC,Ijmuiden,Ijmuiden,,,,,,,,,,
012921,DEUS NETHERLANDS B.V.,Herengracht 88,88,,1015BS,Amsterdam,020-Centrum-West,,,,,Parkeren op de brug,,,,,4
012922,Bar P,Kruisplein 20A,20,A,3012CC,Rotterdam,Rotterdam,,,,,,,,,,
012923,Sugar Factory B.V.,Lijnbaansgracht 238,238,,1017PH,Amsterdam,020-Centrum-Zuid,,,,,,,,,,3
012924,Hula-Hula B.V.,Lijnbaansgracht 161 A,161,A,1016VX,Amsterdam,020-Centrum-West,,,,,,,,,,4
012925,Chabrol Wines Overtoom,Overtoom 444,444,,1054JW,Amsterdam,020-West,,,,,,,,,,4
012926,Chabrol Wines Haarlemmerstraat,Haarlemmerstraat 7,7,,1013EH,Amsterdam,020-West,,,,,,,,,,4
012927,Move Restaurant Wils,Stadionplein 26A,26,A,1076CM,Amsterdam,020-Zuid,,,,,,,,,,3
012928,Franklin Exploitatiemaatschappij IV,Vlasmarkt 56,56,,4331PG,Middelburg,Middelburg,,,,,,,,,,
012929,Yonkers Avenue,Jonkheer Ramweg 22,22,,3998JR,Schalkwijk,Schalkwijk,,,,,,,,,,
012931,Wijntransport B.V.,Songertweg 17,17,,5961NG,Horst,Horst,,,,,,,,,,
012932,Homard Hospitality BV,Rozengracht 133 A,133,A,1016LV,Amsterdam,020-Centrum-West,,,,,,,,,,4
012933,Cammo Brand-NL,Contactweg 42d,42,D,1014AN,Amsterdam,020-West,,,,,,,,,,4
012934,Starship Spirits,Leidsekruisstraat 5,5,,1017RE,Amsterdam,020-Centrum-Zuid,,,,,,,,,,3
012935,GinFling.eu,Argonweg 18,18,,1362AA,Almere,Almere,,,,,,,,,,
012936,(Mr. Finch),Drieharingenstraat 5,4,,3512JB,Utrecht,Utrecht,,11:30,✔️,,Parkeren op de gracht,,,,,
012937,Hanos Groningen,Bornholmstraat 56,56,,9723AZ,Groningen,Groningen,,,,,,,,,,
012938,Four Elements Hotel,Bert Haanstrakade 1074,1074,,1087HJ,Amsterdam,020-Oost,,,,,,,,,,2
012939,Williams Canteen Bv,William Boothlaan 5a,5,A,3012VG,Rotterdam,Rotterdam,,,,,,,,,,
012940,Bosari Dreamline Horeca C.V.,Noordeinde 139A,139,A,2514GG,Den Haag,Den Haag,,,✔️,,,,,,,
012941,Villa coucou BV,Lan van Meerdervoort 6,6,,2517AJ,Den Haag,Den Haag,,,,,,,,,,
012942,Van der Valk Hotel Akersloot,Geesterweg 1A,1,A,1921NV,Akersloot,Akersloot,,,,,,,,,,
012943,Frida Cantina,Admiraal de Ruijterweg 79,79,,1057JZ,Amsterdam,020-West,,,,,,,,,,4
012944,Trapkes Breda BV,Tolburgstraat 19,19,,4811WN,Breda,Breda,,,,,,,,,,
012945,Eetcafé de Brasserie B.V.,Klaasstraat 64,64,,5911JR,Venlo,Venlo,,,,,,,,,,
012946,Bobby's Bar,Kleine Berg 83,83,,5611JT,Eindhoven,Eindhoven,,,,,,,,,,
012947,Five brothers fat,Hobbemakade 64,64,,1071XM,Amsterdam,020-Zuid,,,,,,,,,,3
012948,Blue Nijmegen BV,Oranjesingel 14-20,14,,6511NT,Nijmegen,Nijmegen,,,,,,,,,,
012949,Bacalar,Chrysantenstraat 4,4,,1031HT,Amsterdam,020-Noord,,,,,Indien niet aanwezig leveren bij de garage ,,,,,1
012950,Bar Mokum,Ferdinand Bolstraat 11,11,,1072LA,Amsterdam,020-Zuid - De Pijp,,,,,Ingang Moak Pancakes. Trappetje naar beneden ,,,,,3
012951,Brasserie Lolita,Ferdinand Bolstraat 58,58,,1072LM,Amsterdam,020-Zuid - De Pijp,,,,,,,,,,3
012952,William's Canteen,William Boothlaan 5a,5,A,3012VG,Rotterdam,Rotterdam,,,,,,,,,,
012953,All Class Catering BV,Rijswijkseplein 786,786,,2516LX,Den Haag,Den Haag,,,,,,,,,,
012954,The Gyros Club,Grote Markt 1,1,,2511BG,Den Haag,Den Haag,,,,,,,,,,
012955,Madison Royal,Ceintuurbaan 272H,272,H,1072GJ,Amsterdam,020-Zuid - De Pijp,,,,,,,,,,3
012956,Café 't Pandje,Nobelstraat 193,193,,3512EM,Utrecht,Utrecht,,,,,,,,,,
012957,Bobbi's Bar B.V.,Gasthuispoort 1,1,,4811GW,Breda,Breda,,,,,,,,,,
012958,Uno Cinco BV (Santiago de Cuba),Stratumseind 65,65,,5611EP,Eindhoven,Eindhoven,,,,,,,,,,
012959,Botanero BV,Mariniersweg 55,55,,3011NE,Rotterdam,Rotterdam,,,,,ALTIJD pas NA 13:00uur leveren,,,,,
012960,Lovelee / JK Tod BV,Lijnbaansgracht 238,238,,1017PH,Amsterdam,020-Centrum-Zuid,,,✔️,✔️,,,,,,3
012961,Barfly / Mr. Bartender,Nassaukade 122H,122,H,1052EC,Amsterdam,020-West,,,,,,,,,,4
012962,Wijnwinkel Odile Hemmen,Nieuwe Binnenweg 92,92,,3015BD,Rotterdam,Rotterdam,,,,,,,,,,
012964,Alles over Gin.,Hercules Segherslaan 11,11,,7944LH,Meppel,Meppel,,,,,,,,,,
012965,Streetfood Club,Janskerkhof 9,9,,3512BK,Utrecht,Utrecht,,,,,,,,,,
012966,Graffiti Kitchen and Bar,Spekstraat 6,6,,2011HM,Haarlem,Haarlem,,,,,,,,,,
012967,NHOW AMSTERDAM B.V.,Europaboulevard 2b,2,B,1078RV,Amsterdam,020-Zuid,,,,,"Liftsleutel vragen bij de receptie. Buitenlift omhoog doen, bestelling plaatsen en de lift weer omlaag doen. Storekeeper bellen dat je hebt geleverd.
",,,,,3
012968,The Burger Room,Paulus Potterstraat 30H,30,H,1071DA,Amsterdam,020-Zuid,,,,,,,,,,3
012969,Waterline Coffee & Cocktails,Turfmarkt 2,2,,2011CA,Haarlem,Haarlem,,,✔️,,,,,,,
012970,Slijterij Besseling,Kanaalstraat 65,65,,3531CB,Utrecht,Utrecht,,,,,,,,,,
012971,Wijnhandel Den Toom,Vredehofstraat 74,74,,3062TC,Rotterdam,Rotterdam,,,,,,,,,,
012972,De Gele Kanarie,Goudsesingel 284,284,,3011KH,Rotterdam,Rotterdam,,,,,,,,,,
033304,Café Carèl,Janskerkhof 6,6,,3512BK,Utrecht,Utrecht,,,,,,,,,,
033406,Joris testaccount,,,,,,,,,,,,,,,,
080218,Foodex Netherlands BV,Ampereweg 5,5,,2627BG,Delft,Delft,,,,,,,,,,
120218,The Booze Brothers,Jan Puntstraat 2,2,,1065MB,Amsterdam,020-Nieuw-West,,,,,,,,,,4
150118,Caspar,Ellly Lamakerplantsoen 2,2,,6822BZ,Arnhem,Arnhem,,,,,,,,,,
171116,32 Eten & Drinken,Grote Markt 32,32,,4461AJ,Goes,Goes,,,,,,,,,,
181217,Miss Moneypenny,Spuistraat 223,223,,1012VN,Amsterdam,020-Centrum,,,,,,,,,,5
220218,Café 't Spui-tje,Spuistraat 318,318,,1012VX,Amsterdam,020-Centrum,,,,,,,,,,5
231017,The Piano Bar,Senecalaan 49,49,,1349LG,Almere,Almere,,,,,,,,,,
300001,Tony Chocolonely,Pazzanistraat 1,1,,1014DB,Amsterdam,020-West,,,,,,,,,,4
300002,Little White Bird,Albert Cuypstraat 159,159,,1073BC,Amsterdam,020-Zuid - De Pijp,,,,,,,,,,3
300003,Rum Barrel West,Spaarndammerstraat 17,17,,1013SR,Amsterdam,020-West,,,,,,,,,,4
300004,Chard & Laver B.V. / Bittered Sling,167-3 Rooseveltlaan,167,3,1079AM,Amsterdam,020-Zuid,,,,,,,,,,3
300005,Marius Jouw Wijnvriend BV,Piet Heinstraat 93,93,,2518CD,Den Haag,Den Haag,,,,,,,,,,
300006,The Lobster & Ox BV,Nieuwe Emmasingel 58,58,,5611AM,Eindhoven,Eindhoven,,,,,,,,,,
300007,Drankenhandel Nectar,Mississippidreef 5-7,5,,3565CE,Utrecht,Utrecht,,,,,,,,,,
300008,Nola Social BV,Houttil 34,34,,1811JN,Alkmaar,Alkmaar,,,,,,,,,,
300009,Cocktail Agency,H.J.E. Wenckebachweg 6V17,6,V17,1096AN,Amsterdam,020-Oost,,,,,,,,,,2
300010,Dietger Test Account,Contactweg 42,42,,1014AN,Amsterdam,020-West,,,,,,,,,,4
300011,Wijnkoperij Henri Bloem,Nieuwe Emmasingel 69,69,,5611AM,Eindhoven,Eindhoven,,,,,,,,,,
300012,Schavuit & Co,Nieuwe Markt 8,8,,6511XK,Nijmegen,Nijmegen,,,,,,,,,,
300013,Recreatieoord Klein Vaarwater,Klein Vaarwaterweg 14,14,,9164MA,Buren,Buren,,,,,,,,,,
300014,Whisky Society Haarlem,Bantamstraat 5,5,,2022TP,Haarlem,Haarlem,,,,,,,,,,
300015,Wijnkoperij De Gouden Ton Rotterdam,Oppert 4-A,4,A,3011HV,Rotterdam,Rotterdam,,,,,,,,,,
300016,Liquid Sunshine Bartending,Olmstraat 51,51,,4814LL,Breda,Breda,,,,,,,,,,
300017,Cowfish,Warmoesstraat 111,111,,1012JA,Amsterdam,020-Centrum,,,,,,,,,,5
300018,Thom Testaccount,Contactweg 42B,42,B,1014AN,Amsterdam,020-West,,,,,,,,,,4
300019,Bram Testaccount,Contactweg 42B,42,B,1014AN,Amsterdam,020-West,,,,,,,,,,4
300020,Bart's Bottles Test 300020,Contactweg 42-B,42,,1014AN,Amsterdam,020-West,,,,,,,,,,4
300022,Bar Wigbolt,Smedestraat 41,41,,2011RE,Haarlem,Haarlem,,,,,,,,,,
300023,Rosario,Tweede Egelantiersdwarsstraat 9 H,9,H,1015SB,Amsterdam,020-Centrum-West,,,✔️,,Sleutel ophalen bij La Perla Pizzeria,,,,,4
300024,BEET Management B.V.,De Cuserstraat 93 Floor 2nd,93,2,1081CN,Amsterdam,020-Zuid,,,,,,,,,,3
